Macrotrends Data Download

China GDP Growth Rate 1961-2023


DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


, , , 
date, GDP Growth (%), Annual Change, 
1961-12-31,-27.27
1962-12-31,-5.58,21.69
1963-12-31,10.3,15.88
1964-12-31,18.18,7.88
1965-12-31,16.95,-1.23
1966-12-31,10.65,-6.3
1967-12-31,-5.77,-16.42
1968-12-31,-4.1,1.67
1969-12-31,16.94,21.04
1970-12-31,19.3,2.36
1971-12-31,7.06,-12.24
1972-12-31,3.81,-3.25
1973-12-31,7.76,3.95
1974-12-31,2.31,-5.45
1975-12-31,8.72,6.41
1976-12-31,-1.57,-10.29
1977-12-31,7.57,9.14
1978-12-31,11.326,3.76
1979-12-31,7.5913,-3.73
1980-12-31,7.8341,0.24
1981-12-31,5.1128,-2.72
1982-12-31,9.0171,3.9
1983-12-31,10.7702,1.75
1984-12-31,15.1915,4.42
1985-12-31,13.4307,-1.76
1986-12-31,8.95,-4.48
1987-12-31,11.6574,2.71
1988-12-31,11.2226,-0.43
1989-12-31,4.2063,-7.02
1990-12-31,3.9203,-0.29
1991-12-31,9.2628,5.34
1992-12-31,14.2245,4.96
1993-12-31,13.8837,-0.34
1994-12-31,13.0368,-0.85
1995-12-31,10.954,-2.08
1996-12-31,9.9226,-1.03
1997-12-31,9.2368,-0.69
1998-12-31,7.846,-1.39
1999-12-31,7.6617,-0.18
2000-12-31,8.4901,0.83
2001-12-31,8.3357,-0.15
2002-12-31,9.1336,0.8
2003-12-31,10.038,0.9
2004-12-31,10.1136,0.08
2005-12-31,11.3946,1.28
2006-12-31,12.721,1.33
2007-12-31,14.2309,1.51
2008-12-31,9.6507,-4.58
2009-12-31,9.3987,-0.25
2010-12-31,10.6359,1.24
2011-12-31,9.5508,-1.09
2012-12-31,7.8637,-1.69
2013-12-31,7.7662,-0.1
2014-12-31,7.4258,-0.34
2015-12-31,7.0413,-0.38
2016-12-31,6.8488,-0.19
2017-12-31,6.9472,0.1
2018-12-31,6.7498,-0.2
2019-12-31,5.9505,-0.8
2020-12-31,2.2397,-3.71
2021-12-31,8.1098,5.87
