Macrotrends Data Download

India GDP 1960-2023


DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


, GDP, Per Capita, Growth
date, GDP ( Billions of US $), Per Capita (US $), Annual % Change
1960-12-31,37.029883876184,83.0351
1961-12-31,39.232435784036,85.9697,3.7227
1962-12-31,42.161481858082,90.2769,2.9311
1963-12-31,48.421923459123,101.3152,5.9944
1964-12-31,56.48028994099,115.4876,7.453
1965-12-31,59.554854575809,119.0825,-2.6358
1966-12-31,45.865462034286,89.7576,-0.0553
1967-12-31,50.134942204,96.0463,7.826
1968-12-31,53.085455870667,99.5168,3.3879
1969-12-31,58.447995017333,107.1821,6.5397
1970-12-31,62.422483054667,111.9683,5.1572
1971-12-31,67.350988021393,118.1598,1.6429
1972-12-31,71.463193831009,122.6125,-0.5533
1973-12-31,85.5152695854,143.4561,3.2955
1974-12-31,99.525899116054,163.2316,1.1853
1975-12-31,98.472796456884,157.9294,9.1499
1976-12-31,102.7171644664,161.1372,1.6631
1977-12-31,121.48732247591,186.4201,7.2548
1978-12-31,137.3002953133,206.0737,5.7125
1979-12-31,152.99165379377,224.5754,-5.2382
1980-12-31,186.32534508666,267.3906,6.7358
1981-12-31,193.49061002979,271.4251,6.0062
1982-12-31,200.71514536315,275.2654,3.4757
1983-12-31,218.26227340697,292.6448,7.2889
1984-12-31,212.15823416731,278.0962,3.8207
1985-12-31,232.5118778417,297.9997,5.2543
1986-12-31,248.98599404059,312.0598,4.7766
1987-12-31,279.03358409222,342.0719,3.9654
1988-12-31,296.58899481235,355.7376,9.6278
1989-12-31,296.04235498488,347.4624,5.9473
1990-12-31,320.97902642003,368.7498,5.5335
1991-12-31,270.10534187923,303.8504,1.0568
1992-12-31,288.20843038396,317.5591,5.4824
1993-12-31,279.29602298792,301.5012,4.7508
1994-12-31,327.27558353956,346.2274,6.6589
1995-12-31,360.2819527168,373.6283,7.5745
1996-12-31,392.89705434807,399.5775,7.5495
1997-12-31,415.86775386387,414.8989,4.0498
1998-12-31,421.35147750474,412.5095,6.1844
1999-12-31,458.82041733781,440.9615,8.8458
2000-12-31,468.39493726237,442.0348,3.841
2001-12-31,485.44101453864,449.9111,4.824
2002-12-31,514.93794887008,468.8444,3.804
2003-12-31,607.69928543387,543.8438,7.8604
2004-12-31,709.14851480466,624.1051,7.9229
2005-12-31,820.3815955129,710.5093,7.9234
2006-12-31,940.25988879214,802.0137,8.0607
2007-12-31,1216.7354415249,1022.7316,7.6608
2008-12-31,1198.8955821375,993.5038,3.0867
2009-12-31,1341.8866027987,1096.635,7.8619
2010-12-31,1675.6153356006,1350.6343,8.4976
2011-12-31,1823.0499277721,1449.6018,5.2413
2012-12-31,1827.6378595062,1434.0182,5.4564
2013-12-31,1856.7221213944,1438.0575,6.3861
2014-12-31,2039.1274462993,1559.8645,7.4102
2015-12-31,2103.5878138128,1590.1739,7.9963
2016-12-31,2294.797980509,1714.2804,8.2563
2017-12-31,2651.4729463751,1957.9688,6.7954
2018-12-31,2702.9297189605,1974.3778,6.4539
2019-12-31,2831.55222252,2047.2327,3.7379
2020-12-31,2667.6879517965,1910.4215,-6.5961
2021-12-31,3176.2950654972,2256.5904,8.6812
