Macrotrends Data Download

Japan GDP Growth Rate 1961-2023


DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


, , , 
date, GDP Growth (%), Annual Change, 
1961-12-31,12.0435
1962-12-31,8.909,-3.13
1963-12-31,8.4736,-0.44
1964-12-31,11.6767,3.2
1965-12-31,5.8197,-5.86
1966-12-31,10.6386,4.82
1967-12-31,11.0821,0.44
1968-12-31,12.8825,1.8
1969-12-31,12.4779,-0.4
1970-12-31,2.455,-10.02
1971-12-31,4.699,2.24
1972-12-31,8.4135,3.71
1973-12-31,8.0326,-0.38
1974-12-31,-1.2252,-9.26
1975-12-31,3.0916,4.32
1976-12-31,3.975,0.88
1977-12-31,4.3903,0.42
1978-12-31,5.2719,0.88
1979-12-31,5.484,0.21
1980-12-31,2.8176,-2.67
1981-12-31,4.2606,1.44
1982-12-31,3.2797,-0.98
1983-12-31,3.6302,0.35
1984-12-31,4.4109,0.78
1985-12-31,5.1598,0.75
1986-12-31,3.294,-1.87
1987-12-31,4.6489,1.35
1988-12-31,6.6616,2.01
1989-12-31,4.9258,-1.74
1990-12-31,4.8409,-0.08
1991-12-31,3.5234,-1.32
1992-12-31,0.9006,-2.62
1993-12-31,-0.4592,-1.36
1994-12-31,1.0834,1.54
1995-12-31,2.631,1.55
1996-12-31,3.1339,0.5
1997-12-31,0.9812,-2.15
1998-12-31,-1.2703,-2.25
1999-12-31,-0.3339,0.94
2000-12-31,2.7646,3.1
2001-12-31,0.3861,-2.38
2002-12-31,0.042,-0.34
2003-12-31,1.5351,1.49
2004-12-31,2.1861,0.65
2005-12-31,1.8039,-0.38
2006-12-31,1.3724,-0.43
2007-12-31,1.484,0.11
2008-12-31,-1.2243,-2.71
2009-12-31,-5.6932,-4.47
2010-12-31,4.0979,9.79
2011-12-31,0.0238,-4.07
2012-12-31,1.3748,1.35
2013-12-31,2.0051,0.63
2014-12-31,0.2962,-1.71
2015-12-31,1.5606,1.26
2016-12-31,0.7538,-0.81
2017-12-31,1.6753,0.92
2018-12-31,0.5841,-1.09
2019-12-31,-0.2404,-0.82
2020-12-31,-4.5069,-4.27
2021-12-31,1.6571,6.16
