Macrotrends Data Download

Russia GDP 1988-2023


DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


, GDP, Per Capita, Growth
date, GDP ( Billions of US $), Per Capita (US $), Annual % Change
1988-12-31,554.7134551495,3777.2354
1989-12-31,506.50017396027,3428.7622
1990-12-31,516.81427402196,3492.7102,-3
1991-12-31,517.96296296296,3490.4524,-5.0469
1992-12-31,460.29055690073,3098.8027,-14.5311
1993-12-31,435.08371385084,2930.6702,-8.6685
1994-12-31,395.07730124846,2662.104,-12.5698
1995-12-31,395.53718573485,2665.7798,-4.1435
1996-12-31,391.7248907445,2643.9292,-3.7551
1997-12-31,404.92895419188,2737.572,1.3999
1998-12-31,270.95548686244,1834.8618,-5.3
1999-12-31,195.90712835093,1330.7572,6.3999
2000-12-31,259.71014219694,1771.5941,10.0001
2001-12-31,306.6020706205,2100.3525,5.1001
2002-12-31,345.47049441786,2377.5295,4.7
2003-12-31,430.34777073179,2975.1252,7.3
2004-12-31,591.0166907428,4102.3647,7.1999
2005-12-31,764.01710799239,5323.4629,6.4
2006-12-31,989.93054227869,6920.189,8.2001
2007-12-31,1299.7057648236,9101.2549,8.5
2008-12-31,1660.8463876248,11635.2725,5.2
2009-12-31,1222.6442822019,8562.8135,-7.8
2010-12-31,1524.917468442,10674.9961,4.5
2011-12-31,2045.9256082744,14311.084,4.3
2012-12-31,2208.2957736431,15420.875,4.0241
2013-12-31,2292.4732466211,15974.6445,1.7554
2014-12-31,2059.2419654908,14095.6484,0.7363
2015-12-31,1363.4810634468,9313.0137,-1.9727
2016-12-31,1276.7869792218,8704.8984,0.1937
2017-12-31,1574.1993870709,10720.333,1.8258
2018-12-31,1657.3296461836,11287.3604,2.8072
2019-12-31,1693.1139042629,11536.251,2.1981
2020-12-31,1489.3624884398,10169.0869,-2.6638
2021-12-31,1778.7826257937,12194.7773,4.7496
