Macrotrends Data Download

Russia GDP Growth Rate 1990-2023


DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


, , , 
date, GDP Growth (%), Annual Change, 
1990-12-31,-3
1991-12-31,-5.0469,-2.05
1992-12-31,-14.5311,-9.48
1993-12-31,-8.6685,5.86
1994-12-31,-12.5698,-3.9
1995-12-31,-4.1435,8.43
1996-12-31,-3.7551,0.39
1997-12-31,1.3999,5.16
1998-12-31,-5.3,-6.7
1999-12-31,6.3999,11.7
2000-12-31,10.0001,3.6
2001-12-31,5.1001,-4.9
2002-12-31,4.7,-0.4
2003-12-31,7.3,2.6
2004-12-31,7.1999,-0.1
2005-12-31,6.4,-0.8
2006-12-31,8.2001,1.8
2007-12-31,8.5,0.3
2008-12-31,5.2,-3.3
2009-12-31,-7.8,-13
2010-12-31,4.5,12.3
2011-12-31,4.3,-0.2
2012-12-31,4.0241,-0.28
2013-12-31,1.7554,-2.27
2014-12-31,0.7363,-1.02
2015-12-31,-1.9727,-2.71
2016-12-31,0.1937,2.17
2017-12-31,1.8258,1.63
2018-12-31,2.8072,0.98
2019-12-31,2.1981,-0.61
2020-12-31,-2.6638,-4.86
2021-12-31,4.7496,7.41
